,phrases,label,emotion,book,person_1,person_2
216,"“No good boiling ’em! We ain’t got no water, and it’s a long way to the well and all,” said a voice. Bert and William thought it was Tom’s. “Shut up!” said they, “or we’ll never have done. And yer can fetch the water yerself, if yer say any  more.”   “Shut up yerself!” said Tom, who thought it was William’s voice.",NEGATIVE,anger,hobbit,Bert,Tom
217,"And so the argument began all over again, and went on hotter than ever, until at last they decided to  sit on the sacks one by one and squash them, and boil them next time. “Who shall we sit on first?” said the voice. “Better sit on the last fellow first,” said Bert, whose eye had been damaged by Thorin. He thought  Tom was talking. “Don’t talk to yerself!” said Tom.",NEGATIVE,anger,hobbit,Bert,Tom
218,"“Don’t talk to yerself!” said Tom. “But if you wants to sit on the last one, sit on him. Which is he?”   “The one with the yellow stockings,” said Bert. “Nonsense, the one with the grey stockings,” said a voice like William’s. “I made sure it was yellow,” said Bert.",NEGATIVE,joy,hobbit,Bert,Tom
219,"“I made sure it was yellow,” said Bert. “Yellow it was,” said William. “Then what did yer say it was grey for?” said Bert. “I never did. Tom said it.”   “That I never did!” said Tom.",NEGATIVE,joy,hobbit,Bert,Tom
220,"“It was you.”   “Two to one, so shut yer mouth!” said Bert. “Who are you a-talkin’ to?” said William. “Now stop it!” said Tom and Bert together. “The night’s gettin’ on, and dawn comes early. Let’s  get on with it!”   “Dawn take you all, and be stone to you!” said a voice that sounded like William’s.",NEGATIVE,anger,hobbit,Bert,Tom
221,"But it wasn’t. For just at that moment the light came over the hill, and there was a mighty twitter in the branches. William never spoke for he stood turned to stone as he stooped; and Bert and Tom were stuck like  rocks as they looked at him. And there they stand to this day, all alone, unless the birds perch on them;  for trolls, as you probably know, must be underground before dawn, or they go back to the stuff of the  mountains they are made of, and never move again. That is what had happened to Bert and Tom and  William.",NEGATIVE,anger,hobbit,Bert,Tom
222,"The water was swollen both with the melting of the  snows at the approach of summer, and with the daylong rain; but they crossed with some difficulty,  and pressed forward, as evening fell, on the last stage of their journey. This was much as it had been before, except that the company was smaller, and more silent; also  this time there were no trolls. At each point on the road Bilbo recalled the happenings and the words  of a year ago — it seemed to him more like ten — so that, of course, he quickly noted the place where  the pony had fallen in the river, and they had turned aside for their nasty adventure with Tom and Bert  and Bill. Not far from the road they found the gold of the trolls, which they had buried, still hidden and  untouched. “I have enough to last me my time,” said Bilbo, when they had dug it up.",NEGATIVE,anger,hobbit,Bert,Tom
223,"“A little beer would suit me better, if it is all the same to you, my good sir,” said Balin with the  white beard. “But I don’t mind some cake — seed-cake, if you have any.”   “Lots!” Bilbo found himself answering, to his own surprise; and he found himself scuttling off,  too, to the cellar to fill a pint beer-mug, and then to a pantry to fetch two beautiful round seed-cakes  which he had baked that afternoon for his after-supper morsel. When he got back Balin and Dwalin were talking at the table like old friends (as a matter of fact  they were brothers). Bilbo plumped down the beer and the cake in front of them, when loud came a  ring at the bell again, and then another ring. “Gandalf for certain this time,” he thought as he puffed along the passage.",NEGATIVE,joy,hobbit,Balin,Gandalf
224,"“Confusticate and bebother these dwarves!” he said aloud. “Why don’t they come and lend a  hand?” Lo and behold! there stood Balin and Dwalin at the door of the kitchen, and Fili and Kili  behind them, and before he could say knife they had whisked the trays and a couple of small tables  into the parlour and set out everything afresh. Gandalf sat at the head of the party with the thirteen dwarves all round: and Bilbo sat on a stool at  the fireside, nibbling at a biscuit (his appetite was quite taken away), and trying to look as if this was  all perfectly ordinary and not in the least an adventure. The dwarves ate and ate, and talked and talked,  and time got on.",POSITIVE,joy,hobbit,Balin,Gandalf
225,"Off you go!”   To the end of his days Bilbo could never remember how he found himself outside, without a hat, a  walking-stick or any money, or anything that he usually took when he went out; leaving his second  breakfast half-finished and quite unwashed-up, pushing his keys into Gandalf’ s hands, and running as  fast as his furry feet could carry him down the lane, past the great Mill, across The Water, and then on  for a mile or more. Very puffed he was, when he got to Bywater just on the stroke of eleven, and found he had come  without a pocket-handkerchief! “Bravo!” said Balin who was standing at the inn door looking out for him. Just then all the others came round the corner of the road from the village. They were on ponies,  and each pony was slung about with all kinds of baggages, packages, parcels, and paraphernalia.",NEGATIVE,anger,hobbit,Balin,Gandalf
226,"He crept still nearer, and suddenly he saw peering between two big boulders a head with a red hood  on: it was Balin doing look-out. He could have clapped and shouted for joy, but he did not. He had still  got the ring on, for fear of meeting something unexpected and unpleasant, and he saw that Balin was  looking straight at him without noticing him. “I will give them all a surprise,” he thought, as he crawled into the bushes at the edge of the dell. Gandalf was arguing with the dwarves.",NEGATIVE,fear,hobbit,Balin,Gandalf
227,"Then they shouted with surprise and delight. Gandalf was as  astonished as any of them, but probably more pleased than all the others. He called to Balin and told  him what he thought of a look-out man who let people walk right into them like that without warning. It is a fact that Bilbo’s reputation went up a very great deal with the dwarves after this. If they had still  doubted that he was really a first-class burglar, in spite of Gandalf’ s words, they doubted no longer.",POSITIVE,fear,hobbit,Balin,Gandalf
228,"If they had still  doubted that he was really a first-class burglar, in spite of Gandalf’ s words, they doubted no longer. Balin was the most puzzled of all; but everyone said it was a very clever bit of work. Indeed Bilbo was so pleased with their praise that he just chuckled inside and said nothing  whatever about the ring; and when they asked him how he did it, he said: “Oh, just crept along, you  know — very carefully and quietly.”   “Well, it is the first time that even a mouse has crept along carefully and quietly under my very  nose and not been spotted,” said Balin, “and I take off my hood to you.” Which he did. “Balin at your service,” said he. “Your servant, Mr.",POSITIVE,joy,hobbit,Balin,Gandalf
229,"Dori, Nori, Ori, Oin, and Gloin were  more comfortable in a huge pine with regular branches sticking out at intervals like the spokes of a  wheel. Bifur, Bofur, Bombur, and Thorin were in another. Dwalin and Balin had swarmed up a tall  slender fir with few branches and were trying to find a place to sit in the greenery of the topmost  boughs. Gandalf, who was a good deal taller than the others, had found a tree into which they could  not climb, a large pine standing at the very edge of the glade. He was quite hidden in its boughs, but  you could see his eyes gleaming in the moon as he peeped out.",POSITIVE,fear,hobbit,Balin,Gandalf
230,"He took to writing poetry and visiting the elves; and though many shook their heads and touched  their foreheads and said “Poor old Baggins!” and though few believed any of his tales, he remained  very happy to the end of his days, and those were extraordinarily long. One autumn evening some years afterwards Bilbo was sitting in his study writing his memoirs — he  thought of calling them “There and Back Again, a Hobbit’s Holiday” — when there was a ring at the  door. It was Gandalf and a dwarf; and the dwarf was actually Balin. “Come in! Come in!” said Bilbo, and soon they were settled in chairs by the fire.",POSITIVE,joy,hobbit,Balin,Gandalf
231,"And Lake-town was refounded and was more prosperous than ever, and much  wealth went up and down the Running River; and there was friendship in those parts between elves  and dwarves and men. people, but being of the kind that easily catches such disease he fell under the dragon-sickness, and  took most of the gold and fled with it, and died of starvation in the Waste, deserted by his  companions. “The new Master is of wiser kind,” said Balin, “and very popular, for, of course, he gets most of  the credit for the present prosperity. They are making songs which say that in his day the rivers run  with gold.”   “Then the prophecies of the old songs have turned out to be true, after a fashion!” said Bilbo. “Of course!” said Gandalf.",POSITIVE,joy,hobbit,Balin,Gandalf
232,"This last belonged to  Thorin, an enormously important dwarf, in fact no other than the great Thorin Oakenshield himself,  who was not at all pleased at falling flat on Bilbo’s mat with Bifur, Bofur, and Bombur on top of him. For one thing Bombur was immensely fat and heavy. Thorin indeed was very haughty, and said  nothing about service; but poor Mr. Baggins said he was sorry so many times, that at last he grunted  “pray don’t mention it,” and stopped frowning. “Now we are all here!” said Gandalf, looking at the row of thirteen hoods — the best detachable  party hoods — and his own hat hanging on the pegs.",NEGATIVE,anger,hobbit,Thorin,Gandalf
233,"“And after. We shan’t get through the business till late, and we must  have some music first. Now to clear up!”   Thereupon the twelve dwarves — not Thorin, he was too important, and stayed talking to Gandalf —  jumped to their feet, and made tall piles of all the things. Off they went, not waiting for trays,  balancing columns of plates, each with a bottle on the top, with one hand, while the hobbit ran after  them almost squeaking with fright: “please be careful!” and “please, don’t trouble! I can manage.” But  the dwarves only started to sing:    Chip the glasses and crack the plates!",NEGATIVE,joy,hobbit,Thorin,Gandalf
234,"carefully with the plates! And of course they did none of these dreadful things, and everything was cleaned and put away safe  as quick as lightning, while the hobbit was turning round and round in the middle of the kitchen trying  to see what they were doing. Then they went back, and found Thorin with his feet on the fender  smoking a pipe. He was blowing the most enormous smoke-rings, and wherever he told one to go, it  went — up the chimney, or behind the clock on the mantelpiece, or under the table, or round and round  the ceiling; but wherever it went it was not quick enough to escape Gandalf. Pop!",NEGATIVE,anger,hobbit,Thorin,Gandalf
235,"“Bring out the instruments!”   Kili and Fili rushed for their bags and brought back little fiddles; Dori, Nori, and Ori brought out  flutes from somewhere inside their coats; Bombur produced a drum from the hall; Bifur and Bofur  went out too, and came back with clarinets that they had left among the walking-sticks. Dwalin and  Balin said: “Excuse me, I left mine in the porch!” “Just bring mine in with you!” said Thorin. They  came back with viols as big as themselves, and with Thorin’ s harp wrapped in a green cloth. It was a  beautiful golden harp, and when Thorin struck it the music began all at once, so sudden and sweet that  Bilbo forgot everything else, and was swept away into dark lands under strange moons, far over The  Water and very far from his hobbit-hole under The Hill. The dark came into the room from the little window that opened in the side of The Hill; the  firelight flickered — it was April — and still they played on, while the shadow of Gandalf’s beard  wagged against the wall.",POSITIVE,fear,hobbit,Thorin,Gandalf
236,"He missed the stool and sat in the fender,  knocking over the poker and shovel with a crash. “Hush!” said Gandalf. “Let Thorin speak!” And this is how Thorin began. “Gandalf, dwarves and Mr. Baggins!",NEGATIVE,anger,hobbit,Thorin,Gandalf
237,"all  praise to his wine and ale! — ” He paused for breath and for a polite remark from the hobbit, but the  compliments were quite lost on poor Bilbo Baggins, who was wagging his mouth in protest at being  called audacious and worst of all fellow conspirator, though no noise came out, he was so flummoxed. So Thorin went on:   “We are met to discuss our plans, our ways, means, policy and devices. We shall soon before the  break of day start on our long journey, a journey from which some of us, or perhaps all of us (except  our friend and counsellor, the ingenious wizard Gandalf) may never return. It is a solemn moment.",NEGATIVE,anger,hobbit,Thorin,Gandalf
238,"“But in what way this one has been hidden we don’t know without  going to see. From what it says on the map I should guess there is a closed door which has been made  to look exactly like the side of the Mountain. That is the usual dwarves’ method — I think that is right,  isn’t it?”   “Quite right,” said Thorin. “Also,” went on Gandalf, “I forgot to mention that with the map went a key, a small and curious  key. Here it is!” he said, and handed to Thorin a key with a long barrel and intricate wards, made of  silver.",POSITIVE,surprise,hobbit,Thorin,Gandalf
239,"We thought of going East, as quiet and careful as we  could, as far as the Long Lake. After that the trouble would begin — .”   “A long time before that, if I know anything about the roads East,” interrupted Gandalf. “We might go from there up along the River Running,” went on Thorin taking no notice, “and so to  the ruins of Dale — the old town in the valley there, under the shadow of the Mountain. But we none of  us liked the idea of the Front Gate. The river runs right out of it through the great cliff at the South of  the Mountain, and out of it comes the dragon too — far too often, unless he has changed his habits.”   “That would be no good,” said the wizard, “not without a mighty Warrior, even a Hero.",NEGATIVE,anger,hobbit,Thorin,Gandalf
240,"So now let’s  get on and make some plans.”   “Very well then,” said Thorin, “supposing the burglar-expert gives us some ideas or suggestions.”  He turned with mock-politeness to Bilbo. “First I should like to know a bit more about things,” said he, feeling all confused and a bit shaky  inside, but so far still Tookishly determined to go on with things. “I mean about the gold and the  dragon, and all that, and how it got there, and who it belongs to, and so on and further.”   “Bless me!” said Thorin, “haven’t you got a map? and didn’t you hear our song? and haven’t we  been talking about all this for hours?”   “All the same, I should like it all plain and clear,” said he obstinately, putting on his business  manner (usually reserved for people who tried to borrow money off him), and doing his best to appear    wise and prudent and professional and live up to Gandalf’s recommendation.",POSITIVE,fear,hobbit,Thorin,Gandalf
241,"and haven’t we  been talking about all this for hours?”   “All the same, I should like it all plain and clear,” said he obstinately, putting on his business  manner (usually reserved for people who tried to borrow money off him), and doing his best to appear    wise and prudent and professional and live up to Gandalf’s recommendation. “Also I should like to  know about risks, out-of-pocket expenses, time required and remuneration, and so forth” — by which  he meant: “What am I going to get out of it? and am I going to come back alive?”   “O very well,” said Thorin. “Long ago in my grandfather Thror’s time our family was driven out of  the far North, and came back with all their wealth and their tools to this Mountain on the map. It had  been discovered by my far ancestor, Thrain the Old, but now they mined and they tunnelled and they  made huger halls and greater workshops — and in addition I believe they found a good deal of gold and  a great many jewels too.",POSITIVE,joy,hobbit,Thorin,Gandalf
242,"I see now they must have  had a private Side-door which only they knew about. But apparently they made a map, and I should  like to know how Gandalf got hold of it, and why it did not come down to me, the rightful heir.”   “I did not ‘get hold of it,’ I was given it,” said the wizard. “Your grandfather Thror was killed, you  remember, in the mines of Moria by Azog the Goblin .”   “Curse his name, yes,” said Thorin. “And Thrain your father went away on the twenty-first of April, a hundred years ago last Thursday,  and has never been seen by you since-”   “True, true,” said Thorin. “Well, your father gave me this to give to you; and if I have chosen my own time and way for  handing it over, you can hardly blame me, considering the trouble I had to find you.",NEGATIVE,anger,hobbit,Thorin,Gandalf
243,"Even I,  Gandalf, only just escaped. I tried to save your father, but it was too late. He was witless and  wandering, and had forgotten almost everything except the map and the key.”   “We have long ago paid the goblins of Moria,” said Thorin; “we must give a thought to the  Necromancer.”   “Don’t be absurd! He is an enemy far beyond the powers of all the dwarves put together, if they  could all be collected again from the four corners of the world. The one thing your father wished was  for his son to read the map and use the key.",NEGATIVE,anger,hobbit,Thorin,Gandalf
244,"“Great Elephants!” said Gandalf, “you are not at all yourself this morning — you have never dusted  the mantelpiece!”   “What’s that got to do with it? I have had enough to do with washing up for fourteen!”   “If you had dusted the mantelpiece, you would have found this just under the clock,” said Gandalf,  handing Bilbo a note (written, of course, on his own note-paper). This is what he read:    “Thorin and Company to Burglar Bilbo greeting! For your hospitality our sincerest thanks, and for  your offer of professional assistance our grateful acceptance. Terms: cash on delivery, up to and not  exceeding one fourteenth of total profits (if any); all travelling expenses guaranteed in any event;  funeral expenses to be defrayed by us or our representatives, if occasion arises and the matter is not  otherwise arranged for.",NEGATIVE,joy,hobbit,Thorin,Gandalf
245,"“Thinking it unnecessary to disturb your esteemed repose, we have proceeded in advance to make  requisite preparations, and shall await your respected person at the Green Dragon Inn, Bywater, at 11  a.m. sharp. Trusting that you will be punctual,   “ We have the honour to remain  “ Yours deeply  “ Thorin & Co.”    “That leaves you just ten minutes. You will have to run,” said Gandalf. “But — said Bilbo.",NEGATIVE,joy,hobbit,Thorin,Gandalf
246,"It was nearly night when they had crossed over. The wind broke up the grey clouds, and a  wandering moon appeared above the hills between the flying rags. Then they stopped, and Thorin  muttered something about supper, “and where shall we get a dry patch to sleep on?” Not until then did  they notice that Gandalf was missing. So far he had come all the way with them, never saying if he  was in the adventure or merely keeping them company for a while. He had eaten most, talked most,  and laughed most.",NEGATIVE,sadness,hobbit,Thorin,Gandalf
247,"There were lots of clothes, too, hanging on the  walls — too small for trolls, I am afraid they belonged to victims — and among them were several  swords of various makes, shapes, and sizes. Two caught their eyes particularly, because of their  beautiful scabbards and jewelled hilts. Gandalf and Thorin each took one of these; and Bilbo took a knife in a leather sheath. It would  have made only a tiny pocket-knife for a troll, but it was as good as a short sword for the hobbit. “These look like good blades,” said the wizard, half drawing them and looking at them curiously.",POSITIVE,joy,hobbit,Thorin,Gandalf
248,"Then they brought up their ponies, and carried away the pots of gold, and buried them very     secretly not far from the track by the river, putting a great many spells over them, just in case they  ever had the chance to come back and recover them. When that was done, they all mounted once more,  and jogged along again on the path towards the East. “Where did you go to, if I may ask?” said Thorin to Gandalf as they rode along. “To look ahead,” said he. “And what brought you back in the nick of time?” “Looking behind,” said he.",POSITIVE,anger,hobbit,Thorin,Gandalf
249,"Bilbo the hobbit on a pony, my dear! Isn’t it delicious!”   “Most astonishing wonderful!”   Then off they went into another song as ridiculous as the one I have written down in full. At last  one, a tall young fellow, came out from the trees and bowed to Gandalf and to Thorin. “Welcome to the valley!” he said. “Thank you!” said Thorin a bit gruffly; but Gandalf was already off his horse and among the elves,  talking merrily with them.",POSITIVE,joy,hobbit,Thorin,Gandalf
250,"They were made in Gondolin for the Goblin-wars. They must have  come from a dragon’s hoard or goblin plunder, for dragons and goblins destroyed that city many ages  ago. This, Thorin, the runes name Orcrist, the Goblin-cleaver in the ancient tongue of Gondolin; it was  a famous blade. This, Gandalf, was Glamdring, Foe-hammer that the king of Gondolin once wore. Keep them well!”   “Whence did the trolls get them, I wonder?” said Thorin looking at his sword with new interest.",POSITIVE,joy,hobbit,Thorin,Gandalf
251,"They can only be seen when the moon shines behind them, and what is more, with the more  cunning sort it must be a moon of the same shape and season as the day when they were written. The  dwarves invented them and wrote them with silver pens, as your friends could tell you. These must  have been written on a midsummer’s eve in a crescent moon, a long while ago.”   “What do they say?” asked Gandalf and Thorin together, a bit vexed perhaps that even Elrond  should have found this out first, though really there had not been a chance before, and there would not  have been another until goodness knows when. “ Stand by the grey stone when the thrush knocks. ” read Elrond, “and the setting sun with the last  light of Durin’s Day will shine upon the key-hole.”   “Durin, Durin!” said Thorin.",POSITIVE,anger,hobbit,Thorin,Gandalf
252,"” read Elrond, “and the setting sun with the last  light of Durin’s Day will shine upon the key-hole.”   “Durin, Durin!” said Thorin. “He was the father of the fathers of the eldest race of Dwarves, the  Longbeards, and my first ancestor: I am his heir.”   “Then what is Durin’s Day?” asked Elrond. “The first day of the dwarves’ New Year,” said Thorin, “is as all should know the first day of the  last moon of Autumn on the threshold of Winter. We still call it Durin’s Day when the last moon of  Autumn and the sun are in the sky together. But this will not help us much, I fear, for it passes our  skill in these days to guess when such a time will come again.”   “That remains to be seen,” said Gandalf.",NEGATIVE,joy,hobbit,Thorin,Gandalf
253,"Soon they were getting drenched and their ponies were standing with their  heads down and their tails between their legs, and some of them were whinnying with fright. They  could hear the giants guffawing and shouting all over the mountainsides. “This won’t do at all!” said Thorin. “If we don’t get blown off, or drowned, or struck by lightning,  we shall be picked up by some giant and kicked sky-high for a football.”      The Mountain-path    “Well, if you know of anywhere better, take us there!” said Gandalf, who was feeling very grumpy,       and was far from happy about the giants himself. The end of their argument was that they sent Fili and Kili to look for a better shelter.",NEGATIVE,anger,hobbit,Thorin,Gandalf
254,"Orcrist, too, had been saved; for   Gandalf had brought it along as well, snatching it from one of the terrified guards. Gandalf thought  of most things; and though he could not do everything, he could do a great deal for friends in a tight  corner. “Are we all here?” said he, handing his sword back to Thorin with a bow. “Let me see: one — that’s  Thorin; two, three, four, five, six, seven, eight, nine, ten, eleven; where are Fili and Kili? Here they  are!",POSITIVE,fear,hobbit,Thorin,Gandalf
255,"Baggins bumping up and down on  Bombur’s back. “Why, O why did I ever bring a wretched little hobbit on a treasure hunt!” said poor Bombur, who  was fat, and staggered along with the sweat dripping down his nose in his heat and terror. At this point Gandalf fell behind, and Thorin with him. They turned a sharp corner. “About turn!”  he shouted.",NEGATIVE,anger,hobbit,Thorin,Gandalf
256,"At times they were  pushing through a sea of bracken with tall fronds rising right above the hobbit’s head; at times they  were marching along quiet as quiet over a floor of pine-needles; and all the while the forest-gloom got  heavier and the forest-silence deeper. There was no wind that evening to bring even a sea-sighing into  the branches of the trees. “Must we go any further?” asked Bilbo, when it was so dark that he could only just see Thorin’s beard  wagging beside him, and so quiet that he could hear the dwarves’ breathing like a loud noise. “My toes  are all bruised and bent, and my legs ache, and my stomach is wagging like an empty sack.”   “A bit further,” said Gandalf. After what seemed ages further they came suddenly to an opening where no trees grew.",NEGATIVE,sadness,hobbit,Thorin,Gandalf
257,"Fili and Kili  were at the top of a tall larch like an enormous Christmas tree. Dori, Nori, Ori, Oin, and Gloin were  more comfortable in a huge pine with regular branches sticking out at intervals like the spokes of a  wheel. Bifur, Bofur, Bombur, and Thorin were in another. Dwalin and Balin had swarmed up a tall  slender fir with few branches and were trying to find a place to sit in the greenery of the topmost  boughs. Gandalf, who was a good deal taller than the others, had found a tree into which they could  not climb, a large pine standing at the very edge of the glade.",NEGATIVE,fear,hobbit,Thorin,Gandalf
258,"I can only see one, and a little one at that,” said Beorn. “Well to tell you the truth, I did not like to bother you with a lot of us, until I found out if you were  busy. I will give a call, if I may.”   “Go on, call away!”   So Gandalf gave a long shrill whistle, and presently Thorin and Dori came round the house by the  garden path and stood bowing low before them. “One or three you meant, I see!” said Beorn. “But these aren’t hobbits, they are dwarves!”   “Thorin Oakenshield, at your service!",NEGATIVE,anger,hobbit,Thorin,Gandalf
259,"Dori at your service!” said the two dwarves bowing again. “I don’t need your service, thank you,” said Beorn, “but I expect you need mine. I am not over fond  of dwarves; but if it is true you are Thorin (son of Thrain, son of Thror, I believe), and that your  companion is respectable, and that you are enemies of goblins and are not up to any mischief in my  lands — what are you up to, by the way?”   “They are on their way to visit the land of their fathers, away east beyond Mirkwood,” put in  Gandalf, “and it is entirely an accident that we are in your lands at all. We were crossing by the High  Pass that should have brought us to the road that lies to the south of your country, when we were  attacked by the evil goblins — as I was about to tell you.”   “Go on telling, then!” said Beorn, who was never very polite. “There was a terrible storm; the stone-giants were out hurling rocks, and at the head of the pass we  took refuge in a cave, the hobbit and I and several of our companions...”   “Do you call two several?”   “Well, no.",NEGATIVE,anger,hobbit,Thorin,Gandalf
260,"One bore a white cloth embroidered at the edges with figures of animals; others bore on their  broad backs trays with bowls and platters and knives and wooden spoons, which the dogs took and  quickly laid on the trestle-tables. These were very low, low enough even for Bilbo to sit at  comfortably. Beside them a pony pushed two low-seated benches with wide rush-bottoms and little  short thick legs for Gandalf and Thorin, while at the far end he put Beorn’s big black chair of the same  sort (in which he sat with his great legs stuck far out under the table). These were all the chairs he had  in his hall, and he probably had them low like the tables for the convenience of the wonderful animals  that waited on him. What did the rest sit on?",NEGATIVE,joy,hobbit,Thorin,Gandalf
261,"Not only to guard you and  guide you, but to keep an eye on the ponies too. Beorn may be your friend, but he loves his animals as  his children. You do not guess what kindness he has shown you in letting dwarves ride them so far and  so fast, nor what would happen to you, if you tried to take them into the forest.”   “What about the horse, then?” said Thorin. “You don’t mention sending that back.”   “I don’t, because I am not sending it.”   “What about your promise then?”   “I will look after that. I am not sending the horse back, I am riding it!”   Then they knew that Gandalf was going to leave them at the very edge of Mirkwood, and they were  in despair.",NEGATIVE,sadness,hobbit,Thorin,Gandalf
262,"Bilbo sat on the ground feeling very unhappy and wishing he was  beside the wizard on his tall horse. He had gone just inside the forest after breakfast (a very poor one),  and it had seemed as dark in there in the morning as at night, and very secret: “a sort of watching and  waiting feeling,” he said to himself. “Good-bye!” said Gandalf to Thorin. “And goodbye to you all, good-bye! Straight through the  forest is your way now.",POSITIVE,sadness,hobbit,Thorin,Gandalf
263,"Before you could get round it in the South, you would get into the land of the Necromancer; and even  you, Bilbo, won’t need me to tell you tales of that black sorcerer. I don’t advise you to go anywhere  near the places overlooked by his dark tower! Stick to the forest-track, keep your spirits up, hope for  the best, and with a tremendous slice of luck you may come out one day and see the Long   Marshes lying below you, and beyond them, high in the East, the Lonely Mountain where dear old  Smaug lives, though I hope he is not expecting you.”   “Very comforting you are to be sure,” growled Thorin. “Good-bye! If you won’t come with us, you  had better get off without any more talk!”   “Good-bye then, and really good-bye!” said Gandalf, and he turned his horse and rode down into  the West.",POSITIVE,joy,hobbit,Thorin,Gandalf
264,"As a matter of fact there was a  great autumn feast in the woods that night, and in the halls above. Nearly all the king’s folk were  merrymaking. At last after much blundering they came to Thorin’s dungeon, far down in a deep place and  fortunately not far from the cellars. “Upon my word!” said Thorin, when Bilbo whispered to him to come out and join his friends,  “Gandalf spoke true, as usual! A pretty fine burglar you make, it seems, when the time comes.",POSITIVE,joy,hobbit,Thorin,Gandalf
265,"So you see Bilbo had come in the end by the only road that was any good. It might have been some  comfort to Mr. Baggins shivering on the barrels, if he had known that news of this had reached  Gandalf far away and given him great anxiety, and that he was in fact finishing his other business  (which does not come into this tale) and getting ready to come in search of Thorin’s company. But  Bilbo did not know it. All he knew was that the river seemed to go on and on and on for ever, and he was hungry, and had  a nasty cold in the nose, and did not like the way the Mountain seemed to frown at him and threaten  him as it drew ever nearer.",NEGATIVE,anger,hobbit,Thorin,Gandalf
266,"“Get down!”   “Until then we keep the stone,” cried Bard. “You are not making a very splendid figure as King under the Mountain,” said Gandalf. “But things  may change yet.”   “They may indeed,” said Thorin. And already, so strong was the bewilderment of the treasure upon  him, he was pondering whether by the help of Dain he might not recapture the Arkenstone and  withhold the share of the reward. And so Bilbo was swung down from the wall, and departed with nothing for all his trouble, except  the armour which Thorin had given him already.",POSITIVE,joy,hobbit,Thorin,Gandalf
267,"That marks a hidden  passage to the Lower Halls.” (Look at the map at the beginning of this book, and you will see there the  runes.)     “It may have been secret once,” said Thorin, “but how do we know that it is secret any longer? Old  Smaug has lived there long enough now to find out anything there is to know about those caves.”   “He may — but he can’t have used it for years and years.”   “Why?”   “Because it is too small. ‘ Five feet high the door and three may walk abreast ’ say the runes, but  Smaug could not creep into a hole that size, not even when he was a young dragon, certainly not after  devouring so many of the dwarves and men of Dale.”   “It seems a great big hole to me,” squeaked Bilbo (who had no experience of dragons and only of  hobbit-holes). He was getting excited and interested again, so that he forgot to keep his mouth shut. He loved maps, and in his hall there hung a large one of the Country Round with all his favourite  walks marked on it in red ink.",NEGATIVE,joy,hobbit,Bilbo,Smaug
268,"“Of course not!” said Balin. “That is only the beginning of the Misty Mountains, and we have got  to get through, or over, or under those somehow, before we can come into Wilderland beyond. And it  is a deal of a way even from the other side of them to the Lonely Mountain in the East where Smaug  lies on our treasure.”   “O!” said Bilbo, and just at that moment he felt more tired than he ever remembered feeling  before. He was thinking once again of his comfortable chair before the fire in his favourite sitting-  room in his hobbit-hole, and of the kettle singing. Not for the last time!",NEGATIVE,sadness,hobbit,Bilbo,Smaug
269,"Remember you are over the Edge of the Wild now, and in for all sorts of fun wherever you go. Before  you could get round Mirkwood in the North you would be right among the slopes of the Grey  Mountains, and they are simply stiff with goblins, hobgoblins, and Orcs of the worst description. Before you could get round it in the South, you would get into the land of the Necromancer; and even  you, Bilbo, won’t need me to tell you tales of that black sorcerer. I don’t advise you to go anywhere  near the places overlooked by his dark tower! Stick to the forest-track, keep your spirits up, hope for  the best, and with a tremendous slice of luck you may come out one day and see the Long   Marshes lying below you, and beyond them, high in the East, the Lonely Mountain where dear old  Smaug lives, though I hope he is not expecting you.”   “Very comforting you are to be sure,” growled Thorin.",POSITIVE,joy,hobbit,Bilbo,Smaug
270,"Smaug lay, with wings folded like an immeasurable bat, turned partly on one side, so that the  hobbit could see his underparts and his long pale belly crusted with gems and fragments of gold from  his long lying on his costly bed. Behind him where the walls were nearest could dimly be seen coats of  mail, helms and axes, swords and spears hanging; and there in rows stood great jars and vessels filled  with a wealth that could not be guessed. To say that Bilbo’s breath was taken away is no description at all. There are no words left to  express his staggerment, since Men changed the language that they learned of elves in the days when  all the world was wonderful. Bilbo had heard tell and sing of dragon-hoards before, but the splendour,  the lust, the glory of such treasure had never yet come home to him.",NEGATIVE,joy,hobbit,Bilbo,Smaug
271,"He grasped a great two-handled cup, as heavy as he could  carry, and cast one fearful eye upwards. Smaug stirred a wing, opened a claw, the rumble of his  snoring changed its note. Then Bilbo fled. But the dragon did not wake — not yet — but shifted into other dreams of greed and  violence, lying there in his stolen hall while the little hobbit toiled back up the long tunnel. His heart  was beating and a more fevered shaking was in his legs than when he was going down, but still he  clutched the cup, and his chief thought was: “I’ve done it!",NEGATIVE,fear,hobbit,Bilbo,Smaug
272,"Their ponies were lost or killed, and they  would have to wait some time before Smaug relaxed his watch sufficiently for them to dare the long  way on foot. Luckily they had saved enough of their stores to last them still for some time. They debated long on what was to be done, but they could think of no way of getting rid of Smaug  — which had always been a weak point in their plans, as Bilbo felt inclined to point out. Then as is the  nature of folk that are thoroughly perplexed, they began to grumble at the hobbit, blaming him for  what had at first so pleased them: for bringing away a cup and stirring up Smaug’ s wrath so soon. “What else do you suppose a burglar is to do?” asked Bilbo angrily.",NEGATIVE,fear,hobbit,Bilbo,Smaug
