phrases,book,person_1,person_2
"Please! I don't want to hurt you but if you come near-'  'Philippa!' shouted Dandelion, still holding the weeping Shani. 'Have you gone mad?'  'No,' said the Geralt with some effort. 'She's quite sane. And knows perfectly well what she's doing.",Blood of Elves,Geralt,Philippa
"Calm down and let Shani and me take  care of you.'  'She's right!' shouted Dandelion, 'you're wounded, damn it! Your wound has to be dressed and we've got  to get out of here! You can argue later!'  'You and your great cause ...' The Geralt, ignoring the troubadour, staggered forward. 'Your great  cause, Philippa, and your choice, is a wounded man, stabbed in cold blood once he told you what you  wanted to know, but what I wasn't to find out. Your great cause is Rience, whom you allowed to escape  so that he wouldn't by any chance reveal the name of his patron.",Blood of Elves,Geralt,Philippa
"Because Yennefer has already  chosen. Your destiny is in her hands, Geralt. You placed it in those hands yourself.'  The Geralt staggered. Shani yelled and tore herself away from Dandelion. Geralt held her back with a  gesture, stood upright and looked straight into the dark eyes of Philippa Eilhart.",Blood of Elves,Geralt,Philippa
"Calm down and let Shani and me take  care of you.'  'She's right!' shouted Dandelion, 'you're wounded, damn it! Your wound has to be dressed and we've got  to get out of here! You can argue later!'  'You and your great cause ...' The Geralt, ignoring the troubadour, staggered forward. 'Your great  cause, Philippa, and your choice, is a wounded man, stabbed in cold blood once he told you what you  wanted to know, but what I wasn't to find out. Your great cause is Rience, whom you allowed to escape  so that he wouldn't by any chance reveal the name of his patron.",Blood of Elves,Geralt,Philippa
"Because Yennefer has already  chosen. Your destiny is in her hands, Geralt. You placed it in those hands yourself.'  The Geralt staggered. Shani yelled and tore herself away from Dandelion. Geralt held her back with a  gesture, stood upright and looked straight into the dark eyes of Philippa Eilhart.",Blood of Elves,Geralt,Philippa
"We've been waiting for you.'  'Greetings, Vesemir. Greetings, lads. It's good to be home again.'  'Who have you brought us?'  Geralt was silent for a moment, then put his hand on Ciri's shoulder and lightly pushed her forward. She  walked awkwardly, hesitantly, huddled up and hunched, her head lowered. I'm frightened, she thought.",Blood of Elves,Geralt,Vesemir
"What's more, she saw nothing of what she had  expected in those eyes. 'Welcome,' he repeated. 'We are glad you've come.'  Eskel stood next to Geralt, resembling the Wolf like a brother apart from the colour of his hair and the  long scar which disfigured his cheek. And the youngest of the Kaer Morhen Geralts, Lambert, was  there with his usual ugly, mocking expression. Vesemir was not there.",Blood of Elves,Geralt,Vesemir
"So much ...'  'Triss.' He moved her away delicately. 'We're not alone ... They're coming.'  She glanced at the entrance and saw the shadows of the approaching Geralts only after some time,    heard their steps even later. Oh well, her hearing, which she considered very sensitive, could not compete  with that of a Geralt. 'Triss, my child!'  'Vesemir!'  Vesemir was really very old.",Blood of Elves,Geralt,Vesemir
"Oh, Triss, old age is no joke. My bones ache so I want to howl. Will you help an old  man, child?'  'I will.' The enchantress freed herself from his bear-like embrace and cast her eye over the Geralt  accompanying Vesemir. He was young, apparently the same age as Lambert, and wore a short, black  beard which did not hide the severe disfigurement left behind by smallpox. This was unusual; Geralts  were generally highly immune to infectious diseases.",Blood of Elves,Geralt,Vesemir
"'Triss Merigold, Coen.' Geralt introduced them to each other. 'This is Coen's first winter with us. He  comes from the north, from Poviss.'  The young Geralt bowed. He had unusually pale, yellow-green irises and the whites of his eyes, riddled  with red threads, indicated difficult and troublesome processes during his mutation. 'Let us go, child,' uttered Vesemir, taking her by the arm.",Blood of Elves,Geralt,Vesemir
"But it seems you have muddled the stories, boys. In the fairy-tales I was  told, shepherdesses and orphans become princesses. But here, I see, a princess is becoming a Geralt. Does that not appear somewhat daring to you?'  Vesemir glanced at Geralt. The white-haired Geralt remained silent, his face perfectly still; he did not  react with even the slightest quiver of his eyelids to Vesemir's unspoken request for support.",Blood of Elves,Geralt,Vesemir
"The white-haired Geralt remained silent, his face perfectly still; he did not  react with even the slightest quiver of his eyelids to Vesemir's unspoken request for support. 'It's not what you think.' The old man cleared his throat. 'Geralt brought her here last autumn. She has no  one apart from- Triss, how can one not believe in destiny when-'  'What has destiny to do with waving a sword around?'  'We are teaching her to fence,' Geralt said quietly, turning  towards her and looking her straight in the eyes. 'What else are we to teach her?",Blood of Elves,Geralt,Vesemir
"It is.' Vesemir took a deep breath. 'Triss, you must be tired. And hungry?'  'I cannot deny it,' she sighed, giving up on trying to catch Geralt's eye. 'To be honest, I'm on my last legs. I spent last night  on the Trail in a shepherd's hut which was practically falling apart, buried in straw and sawdust.",Blood of Elves,Geralt,Vesemir
For what purpose? Vesemir's illness was just a pretext. Vesemir was a Geralt. The fact that he was also an old man did not  change the fact that many a youngster could envy him his health. If the old man had been stung by a  manticore or bitten by a werewolf Triss would have accepted that she had been summoned to aid him.,Blood of Elves,Geralt,Vesemir
"If the old man had been stung by a  manticore or bitten by a werewolf Triss would have accepted that she had been summoned to aid him. But 'aching bones' was a joke. For an ache in his bones, not a very original complaint within the  horrendously cold walls of Kaer Morhen, Vesemir could have treated with a Geralts' elixir or - an  even simpler solution - with strong rye vodka, applied internally and externally in equal proportions. He  didn't need a magician, with her spells, filters and amulets. So who had summoned her?",Blood of Elves,Geralt,Vesemir
"It's obvious. They want to mutate the child, subject her to the Trial of Grasses and Changes, but they don't know how  to do it. Vesemir was the only Geralt left from the previous generation, and he was only a fencing  instructor. The  Laboratorium, hidden in the vaults of Kaer Morhen, with its dusty demi-Johns of elixirs, the alembics,  ovens and retorts ... None of the Geralts knew how to use them.",Blood of Elves,Geralt,Vesemir
"They changed the subject at once. She had watched them. Vesemir had been tense and troubled; Geralt uneasy, Lambert and Eskel falsely  merry and talkative, Coen so natural as to be unnatural. The only one who had been sincere and open  was Ciri, rosy-cheeked from the cold, dishevelled, happy and devilishly voracious. They had eaten beer  potage, thick with croutons and cheese, and Ciri had been surprised they had not served mushrooms as  well.",Blood of Elves,Geralt,Vesemir
"But best of all, stop talking altogether. I'm not  speaking to you. Vesemir, Geralt, have any of you seen how terribly battered this child is? She hasn't got  a single healthy spot on her body!'  'Dear child,' said Vesemir gravely, 'don't let yourself get carried away by your emotions. You were  brought up differently, you've seen children being brought up in another way.",Blood of Elves,Geralt,Vesemir
"Only that the  girl, not being like you, has her days! And bears them exceptionally badly! And you want her to tear her  lungs out on the Killer and some bloody windmills!'  Despite her outrage, Triss felt an exquisite satisfaction at the sight of the sheepish expressions of the  young Geralts, and Vesemir's jaw suddenly dropping open. 'You didn't even know.' She nodded in what was now a calm, concerned and gentle reproach. 'You're  pathetic guardians.",Blood of Elves,Geralt,Vesemir
"You've achieved what you wanted. And maybe  even more.'  'The devil take it,' cursed Coen. 'We've turned out to be right idiots, there's no two ways about it, eh,  Vesemir, and you' Silence,' growled the old Geralt. 'Not a word.'  It was Eskel's behaviour which was most unlikely; he got up, approached the enchantress, bent down  low, took her hand and kissed it respectfully. She swiftly withdrew her hand.",Blood of Elves,Geralt,Vesemir
"Help  us, Triss.'  The enchantress looked him in the eye and pursed her lips. 'With what? What am I to help you with,  Eskel?'  Eskel rubbed his cheek again, looked at Geralt. The white-haired Geralt bowed his head, hiding his  eyes behind his hand. Vesemir cleared his throat loudly.",Blood of Elves,Geralt,Vesemir
"We will also cut the theory short and,  if you feel unwell, we will put it aside for the time being, too. If you need any medication or-'  'I'll take care of that,' Triss cut in just as casually. 'Aha ...' Only now did Ciri blush a little - she looked at the old Geralt. 'Uncle Vesemir, I've asked  Triss ... that is, Miss Merigold, to ...",Blood of Elves,Geralt,Vesemir
"Uncle Vesemir! Say yes!'  'I agree ...' Vesemir wheezed out. 'Of course, I agree ...'  'We are very happy.' Only now did Geralt take his hand from his forehead. 'We are extremely pleased,  Triss.'  The enchantress nodded slightly towards him and innocently fluttered her eyelashes, winding a chestnut  lock around her finger. Geralt's face seemed almost graven from stone.",Blood of Elves,Geralt,Vesemir
"So let us call it advice. I will give you three pieces of  advice, and you are going to abide by each of them. If, of course, you really want me to stay and help  you bring up the little one.'  'We're listening,' said Geralt. 'Go on, Triss.'  'Above all,' she began, smiling maliciously, 'Ciri's menu is to be more varied. And the secret mushrooms  and mysterious greens in particular have to be limited.'  Geralt and Coen controlled their expressions wonderfully, Lambert and Eskel a little less so, Vesemir not  at all.",Blood of Elves,Geralt,Vesemir
"The one and only reason?'  'Yes,' Vesemir confirmed after a moment's silence. Triss breathed an imperceptible sigh of relief. For a moment, she was afraid that Geralt would be the one  to confirm it. The first snow fell the following day, fine snowflakes initially, but soon turning into a blizzard. It fell  throughout the night and, in the early morning, the walls of Kaer Morhen were drowned beneath a  snowdrift.",Blood of Elves,Geralt,Vesemir
"The one and only reason?'  'Yes,' Vesemir confirmed after a moment's silence. Triss breathed an imperceptible sigh of relief. For a moment, she was afraid that Geralt would be the one  to confirm it. The first snow fell the following day, fine snowflakes initially, but soon turning into a blizzard. It fell  throughout the night and, in the early morning, the walls of Kaer Morhen were drowned beneath a  snowdrift.",Blood of Elves,Geralt,Vesemir
"'The  time when wizards used to hunt Sources and magically gifted children, tearing them from their parents or  guardians by force or deceit, is long gone. Did you really think I might want to take Ciri away from you?'  Lambert snorted and turned his face away. Eskel and Vesemir looked at Geralt, and Geralt said nothing. He continued to gaze off to the side, playing incessantly with his silver Geralt medallion, depicting the  head of a snarling wolf. Triss knew the medallion reacted to magic.",Blood of Elves,Geralt,Vesemir
"Look.'  He stretched his hand towards the hearth, arranging his fingers together in a strange way. The chimney  roared and howled, the flames burst out violently, the glowing embers grew brighter and rained sparks. Geralt, Vesemir and Eskel glanced at Ciri anxiously but the girl paid no attention to the spectacular  fireworks. Triss folded her arms and looked at Lambert defiantly. 'The Sign of Aard,' she stated calmly.",Blood of Elves,Geralt,Vesemir
"And fallen into a trance.'  We had such a fright,' Vesemir admitted, and sighed. 'Oh, that we did, child. More than we could take.'  'She started speaking with another voice,' the magician stated calmly, looking at the Geralts' eyes  gleaming in the candlelight. 'She started talking about events and matters of which she could  have no knowledge. She started ...",Blood of Elves,Geralt,Vesemir
"Foresaw the future. And what she  foretold ...'  'What? What, Geralt?'  'Death,' Vesemir said gently. 'Death, child.'     Triss glanced at Ciri, who was shrilly accusing Coen of cheating. Coen put his arms around her and burst  out laughing.",Blood of Elves,Geralt,Vesemir
"'For whom?' she asked briefly, still gazing at Coen. 'Him,' said Vesemir. 'And me,' Geralt added. And smiled. 'When she woke up-'  'She remembered nothing.",Blood of Elves,Geralt,Vesemir
"Eskel deftly moved the vessel  beyond her reach and grabbed a jug of water. Triss stood quickly. 'Here you are.' She gave her half-full chalice to the girl while meaningfully squeezing Geralt's arm and  looking Vesemir in the eye. 'Drink.'  'Triss,' whispered Eskel, watching Ciri drink greedily, 'what are you doing? It's-'  'Not a word, please.'  They did not have to wait long for it to take effect.",Blood of Elves,Geralt,Vesemir
"Made of steel  which fell from heaven! Really! Geralt said so and he never lies, you know that!'  'Oh, yes. I know that.'  'I've got to get used to this sword. Uncle Vesemir had it adjusted just right for my weight, height and  arm-length.",Blood of Elves,Geralt,Vesemir
"In this sphere these monsters are foreign and there is no place for  them. Do you understand, Ciri?'  'I do, Uncle Vesemir. Geralt explained it to me. I know all that. An ecological niche is-'  'All right, that's fine.",Blood of Elves,Geralt,Vesemir
"Whatever was happening in the world, the Geralts did not want to know. In the evenings, consistently and determinedly, Triss guided the long conversations held in the dark hall, lit  only by the bursts of flames in the great hearth, towards politics. The Geralts' reactions were always the  same. Geralt, a hand on his forehead, did not say a word. Vesemir nodded, from time to time throwing in  comments which amounted to little more than that 'in his day' everything had been better, more logical,  more honest and healthier.",Blood of Elves,Geralt,Vesemir
"But from what Triss has been telling us all     these evenings, it seems the conflict with Nilfgaard is more serious than that, not just some local little war. Is that right, Triss?'  'Even if it were the case,' said the magician spitefully, 'surely that suits you? A serious, bloody war will  lead to more deserted villages, more widowed women, simply hordes of orphaned children-'  'I can't understand your sarcasm.' Geralt took his hand away from his forehead. 'I really can't, Triss.'  'Nor I, my child.' Vesemir raised his head. 'What do you mean?",Blood of Elves,Geralt,Vesemir
"The fact that someone can  experience normal love, normal hatred, normal fear, pain and regret, normal joy and normal sadness. That it is coolness, distance and indifference which are considered abnormal. Oh yes, Geralt, it annoys  you, it annoys you so much that you are starting to think about Kaer Morhen's vaults, about the  Laboratorium, the dusty demijohns full of mutagenic poisons-'  'Triss!' called Vesemir, gazing at Geralt's face, suddenly grown pale. But the enchantress refused to be  interrupted and spoke faster and faster, louder and louder. 'Who do you want to deceive, Geralt?",Blood of Elves,Geralt,Vesemir
"Ciri cursed loudly, repeating a favourite saying of Vesemir's which she did not entirely understand. Then  she added a few words she had heard Yarpen Zigrin use, the meanings of which were a total mystery to  her. With a kick, she dispersed the chickens swarming towards the scattered grain, picked up the basket,  turned it upside down, then twirled in a Geralt's pirouette and threw the basket like a discus over the  reed roof of the henhouse. She turned on her heel and set off through the Temple park at a run. She ran lightly, skilfully controlling her breath.",Blood of Elves,Geralt,Vesemir
"But magic was omnipresent. Ciri learned how - using simple  spells and focusing her will - to relax her muscles, combat cramps, control adrenalin, how to master her  aural labyrinth and its nerve, how to slow or speed her pulse and how to cope without oxygen for short  periods. The lady magician knew a surprising amount about a Geralt's sword and 'dance'. She knew a great deal  about the secrets of Kaer Morhen; there was no doubt she had visited the Keep. She knew Vesemir and  Eskel.",Blood of Elves,Geralt,Vesemir
"'We can't afford to make a blunder or mistake now.'  Those assembled said nothing. Demawend, ruler of Aedirn, sprawled in his armchair staring at the  tankard of beer resting on his belly. Foltest, the Lord of Temeria, Pontar, Mahakam and Sodden, and  recently Senior Protector of Brugge, presented his noble profile to everyone by turning his head towards  the window. At the opposite side of the table sat Henselt, King of Kaedwen, running his small, piercing  eyes - glistening from a face as bearded as a brigand's - over the other participants of the council. Meve,  Queen of Lyria, toyed pensively with the enormous rubies in her necklace, occasionally twisting her  beautiful full lips into an ambiguous grimace.",Blood of Elves,Foltest,Henselt
"They have time, we don't!'  'The Scoia'tael,' admitted Henselt, 'have become a real thorn in the backside. They're paralysing my trade  and transport, terrorising the farmers ... we have to put an end to this!'  'If the non-humans want war, they will get it,' threw in Foltest of Temeria. 'I have always been an  advocate of mutual agreement and co-existence but if they prefer a test of strength then we will see who  is the stronger. I am ready.",Blood of Elves,Foltest,Henselt
"If we were to strike at the left bank, Crach would back us up with  all the strength of Skellige. By the gods, this has a chance at success! I back Foltest! Let us not wait, let  us strike first, let us liberate Cintra and chase those sons-of-bitches beyond the Amell pass!'  'Slow down,' snarled Henselt. 'Don't be in such a hurry to tug the lion's whiskers, because this lion is not  dead yet.",Blood of Elves,Foltest,Henselt
"Not telling them that Cintra can only be reborn as a vassal country under your protectorship? You are proposing, to all of us, an attack on Cintra for your own gain? You have suborned Sodden and  Brugge for yourself, are sharpening your teeth on Verden and now you have caught a whiff of Cintra, is  that right?'  'Admit it, Foltest,' snapped Henselt. 'Is Meve right? Is that why you are inciting us to this affair?'  'Come on, leave it.' The ruler of Temeria furrowed his noble brow and bristled angrily.",Blood of Elves,Foltest,Henselt
"But for  the throne of Cintra, cousin, many a king would be prepared to sacrifice his personal happiness-'  'Hold on.' Henselt scratched his beard with a rasp. 'Many a king, you say. Then leave Foltest in peace  for a moment. There are others. In her time, Calanthe wanted to give her granddaughter's hand to Ervyll  of Verden's son.",Blood of Elves,Foltest,Henselt
"The gale howled among the towers of Hagge castle. The kings grew silent. 'Vizimir, Foltest, Demawend, Henselt and Meve,' repeated the marshal. 'They met in a secret council in  Hagge Castle on the Pontar. They conferred in privacy.'  'How symbolic,' said the slender, black-haired man wearing an elk tunic marked with the imprints of  armour and rust stains, without looking round.",Blood of Elves,Foltest,Henselt
"They conferred in privacy.'  'How symbolic,' said the slender, black-haired man wearing an elk tunic marked with the imprints of  armour and rust stains, without looking round. 'After all, it was at Hagge, not forty years ago, that Virfuril  defeated Medell's armies, strengthened his control over the Pontar Valley and established today's  borders between Aedirn and Temeria. And today Demawend, Virfuril's son, invites Foltest, Medell's  son, to Hagge, summoning Vizimir of Tretogor, Henselt of Ard Carraigh and the merry widow Meve of  Lyria to complete the set. They are meeting now and holding council in secrecy. Can you guess what they  are discussing, Coehoorn?'  'I can,' the marshal replied succinctly.",Blood of Elves,Foltest,Henselt
"'Bloody hell, if you'd ridden over  that the axle would be done for, and the wheels shattered to hell. Damn it, what were you-'  'Piss off, Paulie!' roared Yarpen Zigrin and furiously lashed the horses' hindquarters with the reins. 'You were lucky,' said Ciri, ever so sweetly, squeezing onto the box next to the dwarf. 'As you can see,  it's better to have a Geralt-girl on your wagon than to travel alone. I warned you just in time.",Blood of Elves,Ciri,Paulie
"Would you carry her into the bushes  if she had to-'  'Shut up, Paulie.' Yarpen cut him short. 'Don't say anything against that Geralt, because he's a good  fellow.'  'Am I saying anything? I'm only surprised-'  'Triss,' Ciri butted in cheekily, 'is not his woman.'  'I'm all the more surprised.'  'You're all the more a blockhead, you mean,' Yarpen summed up. 'Ciri, pour a bit of water in to boil. We'll infuse some more saffron and poppy seeds for the magician.",Blood of Elves,Ciri,Paulie
"Cloaks and beaver hats can be pretty  quick to change owners.'  The riders approached swiftly. There were about ten of them. Ciri saw Paulie Dahlberg, in the wagon  behind her, place two readied crossbows on his knee and Regan covered them with a cloak. Ciri crept  stealthily out from under the canvas, hiding behind Yarpen's broad back. Triss tried to raise herself,  swore and collapsed against her bedding.",Blood of Elves,Ciri,Paulie
"I'll report it, and thin  Master Wenck with his cold, blue eyes will nod his head gravely, Yarpen Zigrin will bare his yellow,  horse teeth, Paulie Dahlberg will shout: 'Well done, little one!', and Geralt will smile faintly. He'll smile,  although he very rarely smiles recently. Ciri looked around and took a mental note. Two felled birches -no problem. A heap of branches nothing  the wagons couldn't pass.",Blood of Elves,Ciri,Paulie
"Ciri barely managed to pull Triss out from beneath the crazed  horses' hooves at the last moment. The swingle-tree tore away with a crack, the wagon leaped into the  air, lost a wheel and overturned, scattering its load and smouldering boards everywhere. Ciri dragged the enchantress under Yarpen's overturned wagon. Paulie Dahlberg, who suddenly found  himself next to her, helped, while Geralt covered them both, shoving Roach between them and the    charging Scoia'tael. All around the wagon, battle seethed: Ciri heard shouting, blades clashing, horses  snorting, hooves clattering.",Blood of Elves,Ciri,Paulie
"Wenck was hunched over; Ciri  saw the white feathers of an arrow sticking out of his side. Despite the wound, he was skilfully hacking  his way past two elves on foot, attacking him from both sides. As Ciri watched another arrow struck him  in the back. The commissar collapsed forward onto his horse's neck but remained in the saddle. Paulie  Dahlberg rushed to his aid.",Blood of Elves,Ciri,Paulie
"Amongst the whirl seething around her, amongst moves so swift that they blurred in front of her eyes, her  sword seemed strangely, unnaturally slow; it seemed ages would pass before it could be fully drawn. The  ground trembled and shook. Ciri suddenly realised that it was not the ground. It was her knees. Paulie Dahlberg, keeping the elf charging at him at bay with his axe, dragged the wounded Wenck along  the ground.",Blood of Elves,Ciri,Paulie
"The blade of the axe whirred  and fell, slicing into the collar-bone with a hideous crunch. Paulie fell instantly, without a moan; it looked  as if the force of the blow had broken both his knees. Ciri screamed. Yarpen Zigrin leaped from the wagon. The black-bearded dwarf spun and cut.",Blood of Elves,Ciri,Paulie
"'We can't afford to make a blunder or mistake now.'  Those assembled said nothing. Demawend, ruler of Aedirn, sprawled in his armchair staring at the  tankard of beer resting on his belly. Foltest, the Lord of Temeria, Pontar, Mahakam and Sodden, and  recently Senior Protector of Brugge, presented his noble profile to everyone by turning his head towards  the window. At the opposite side of the table sat Henselt, King of Kaedwen, running his small, piercing  eyes - glistening from a face as bearded as a brigand's - over the other participants of the council. Meve,  Queen of Lyria, toyed pensively with the enormous rubies in her necklace, occasionally twisting her  beautiful full lips into an ambiguous grimace.",Blood of Elves,Foltest,Meve
"They  await only the battle cry.'  'The battle cry,' bore out Meve, 'and the promise that we will back them up. Because Emhyr can  command eight thousand men at his border garrison; with that strength he won't even have to send for  relief troops. Vissegerd knows this very well and won't move until he has the assurance that your armies,  Foltest, reinforced by Redanian corps, will disembark on the left bank at his heels. But above all  Vissegerd is waiting for the Lion Cub of Cintra. Apparently the queen's granddaughter survived the  slaughter.",Blood of Elves,Foltest,Meve
"Not telling them that Cintra can only be reborn as a vassal country under your protectorship? You are proposing, to all of us, an attack on Cintra for your own gain? You have suborned Sodden and  Brugge for yourself, are sharpening your teeth on Verden and now you have caught a whiff of Cintra, is  that right?'  'Admit it, Foltest,' snapped Henselt. 'Is Meve right? Is that why you are inciting us to this affair?'  'Come on, leave it.' The ruler of Temeria furrowed his noble brow and bristled angrily.",Blood of Elves,Foltest,Meve
"'Free, independent and strong. A country which will be an  iron gateway, a bulwark to the north, and not a strip of burned ground over which the Nilfgaardian  cavalry will be able to gather speed!'  'Is it possible to rebuild such a Cintra? Without Calanthe?'  'Don't get all worked up, Foltest,' pouted Meve. 'I've already told you, the Cintrians will never accept a  protectorate or foreign blood on their throne. If you try to force yourself on them as their lord the tables  will be turned.",Blood of Elves,Foltest,Meve
"The gale howled among the towers of Hagge castle. The kings grew silent. 'Vizimir, Foltest, Demawend, Henselt and Meve,' repeated the marshal. 'They met in a secret council in  Hagge Castle on the Pontar. They conferred in privacy.'  'How symbolic,' said the slender, black-haired man wearing an elk tunic marked with the imprints of  armour and rust stains, without looking round.",Blood of Elves,Foltest,Meve
"They conferred in privacy.'  'How symbolic,' said the slender, black-haired man wearing an elk tunic marked with the imprints of  armour and rust stains, without looking round. 'After all, it was at Hagge, not forty years ago, that Virfuril  defeated Medell's armies, strengthened his control over the Pontar Valley and established today's  borders between Aedirn and Temeria. And today Demawend, Virfuril's son, invites Foltest, Medell's  son, to Hagge, summoning Vizimir of Tretogor, Henselt of Ard Carraigh and the merry widow Meve of  Lyria to complete the set. They are meeting now and holding council in secrecy. Can you guess what they  are discussing, Coehoorn?'  'I can,' the marshal replied succinctly.",Blood of Elves,Foltest,Meve
"Not of blood. 'Geralt-'  'It was just a dream. A bad dream.'  Ciri shuddered violently, curling her arms and legs up tight. A dream. Just a dream.",Blood of Elves,Ciri,Geralt
"The campfire had already died down; the birch logs were red and luminous, occasionally crackling, giving  off tiny spurts of blue flame which illuminated the white hair and sharp profile of the man wrapping a  blanket and sheepskin around her. 'Geralt, I-'  'I'm right here. Sleep, Ciri. You have to rest. We've still a long way ahead of us.'  I can hear music, she thought suddenly.",Blood of Elves,Ciri,Geralt
"Hold on...! Hold ... 'Geralt?'  'What, Ciri?'  'What did he do to me? What happened? What did he ...",Blood of Elves,Ciri,Geralt
"'At least tell us about it, even if you have no wish to sing of it. Your songs mention no names, but we know the Geralt you sing of is no other than the famous Geralt of  Rivia, and the enchantress for whom he burns with love is the equally famous Yennefer. And the Child  Surprise, destined for the Geralt and sworn to him from birth, is Ciri, the unfortunate Princess of  Cintra, the town destroyed by the Invaders. Am I right?'  Dandelion smiled, remaining enigmatic and aloof. 'I sing of universal matters, my dear, generous lady,' he  stated.",Blood of Elves,Ciri,Geralt
"'You have understood nothing of Master Dandelion's ballad, you have learned nothing! You did not see that these ballads speak of man's fate, that we are no more than toys in the hands of the  gods, our lands no more than their playground. The ballads about destiny portrayed the destinies of us all,  and the legend of Geralt the Geralt and Princess Ciri - although it is set against the true background  of that war - is, after all, a mere metaphor, the creation of a poet's imagination designed to help us-'  'You're talking rubbish, holy man!' hollered Vera Loewenhaupt from the heights of her cart. 'What  legend? What imaginative creation?",Blood of Elves,Ciri,Geralt
"And I've  met the enchantress, Lady Yennefer, on several occasions -I used to visit Aedirn and her home town of  Vengerberg. I don't know anything about their being in love, though.'  'But it has to be true,' the attractive elf in the ermine toque   You did not see that these ballads speak of man's fate, that we are no more than toys in the hands of the  gods, our lands no more than their playground. The ballads about destiny portrayed the destinies of us all,  and the legend of Geralt the Geralt and Princess Ciri - although it is set against the true background  of that war - is, after all, a mere metaphor, the creation of a poet's imagination designed to help us-'  'You're talking rubbish, holy man!' hollered Vera Loewenhaupt from the heights of her cart. 'What  legend? What imaginative creation?",Blood of Elves,Ciri,Geralt
"But the Geralt  could neither find her nor collect her. And here our poet has missed the truth.'  'Oh yes, he's missed the truth indeed,' butted in a sinewy young man who, judging by his clothes, was a  journeyman on his travels prior to crafting his masterpiece and passing his master's exams. 'The Geralt's  destiny bypassed him: Ciri was killed during the siege of Cintra. Before throwing herself from the  tower, Queen Calanthe killed the princess's daughter with her own hand, to prevent her from falling into  the Nilfgaardians' claws alive.'  'It wasn't like that. Not like that at all!' objected the red-haired man.",Blood of Elves,Ciri,Geralt
"You have often been seen in his company. So talk, Dandelion, if you treasure your  joints. Everything you know.'  'This Ciri,' panted the poet, 'was destined for the Geralt. She's a so-called Child Surprise ... You must  have heard it, the story's well known.",Blood of Elves,Ciri,Geralt
"But never uninvited.'  The wind howled savagely, rippling through the grasses growing over the ruins, rustling in the hawthorn  bushes and tall nettles. Clouds sped across the sphere of the moon, momentarily illuminating the great  castle, drenching the moat and few remaining walls in a pale glow undulating with shadows, and revealing  mounds of skulls baring their broken teeth and staring into nothingness through the black holes of their  eye-sockets. Ciri squealed sharply and hid her face in the Geralt's cloak. The mare, prodded on by the Geralt's heels, carefully stepped over a pile of bricks and passed through  the broken arcade. Her horseshoes, ringing against the flagstones, awoke weird echoes between the  walls, muffled by the howling gale.",Blood of Elves,Ciri,Geralt
"Growing  taller and wider it became a door beyond which was a faint glow, the flickering brightness of torches  stuck in iron mounts on the walls. A black figure stood framed in the door, blurred by the brightness. 'Who comes?' Ciri heard a menacing, metallic voice which sounded like a dog's bark. 'Geralt?'    'Yes, Eskel. It's me.'  'Come in.'  The Geralt dismounted, took Ciri from the saddle, stood her on the ground and pressed a bundle into  her little hands which she grabbed tightly, only regretting that it was too small for her to hide behind  completely.",Blood of Elves,Ciri,Geralt
"She saw that he was human after all, that he had an  entirely human face, deformed by a long, ugly, semi-circular scar running from the corner of his mouth  across the length of his cheek up to the ear. 'Since you're here, welcome to Kaer Morhen,' he said. 'What do they call you?'  'Ciri,' Geralt replied for her, silently emerging from the darkness. Eskel turned around. Suddenly, quickly,  wordlessly, the Geralts fell into each other's arms and wound their shoulders around each other tight and  hard.",Blood of Elves,Ciri,Geralt
"There were three. Three humans. Three Geralts,  Ciri corrected herself. She saw nothing but their silhouettes against the fire in the hearth. 'Greetings, Wolf.",Blood of Elves,Ciri,Geralt
"We've been waiting for you.'  'Greetings, Vesemir. Greetings, lads. It's good to be home again.'  'Who have you brought us?'  Geralt was silent for a moment, then put his hand on Ciri's shoulder and lightly pushed her forward. She  walked awkwardly, hesitantly, huddled up and hunched, her head lowered. I'm frightened, she thought.",Blood of Elves,Ciri,Geralt
"Come on, Ciri. My horse is waiting at the bottom. We'll go to Kaer  Morhen together.'  'I ought to run.' Ciri shook her head. 'It's not good to stop running because you get milk in your muscles. Geralt says-'  'Geralt is at the keep?'  Ciri frowned, pinched her lips together and shot a glance at the enchantress from beneath her ashen  fringe.",Blood of Elves,Ciri,Geralt
"Only those who weren't in the keep at the  time survived.'  'Who attacked them? And why?'  'I don't know,' she lied. 'It was a terribly long time ago, Ciri. Ask the Geralts about it.'  'I have,' grunted the girl. 'But they didn't want to tell me.'  / can understand that, thought the magician.",Blood of Elves,Ciri,Geralt
"Freak. Damned by the gods, a creature contrary to nature. No, I do not blame the Geralts for not telling you about it, little Ciri. And I shan't tell you either. I have     even more reason to be silent.",Blood of Elves,Ciri,Geralt
"The Geralts appeared unexpectedly and silently, as usual, and, also as usual, from nowhere. They stood  before her, tall, slim, their arms crossed, the weight of their bodies on their left legs - a position from  which, she knew, they could attack in a split second. Ciri stood next to them, in an identical position. In  her ludicrous clothes, she looked very funny. 'Welcome to Kaer Morhern, Triss.'  'Greetings, Geralt.'  He had changed.",Blood of Elves,Ciri,Geralt
